Topic,Count,Name,Representation,Keyphrases,LLM_Insights,Representative_Docs,Ticket_IDs
0,501,0_life_battery_decrease_sudden,"['life', 'battery', 'decrease', 'sudden', 'longer', 'last', 'used', 'much', 'please', 'assist']","['battery life product_purchased', 'product_purchased issue', 'having issue product_purchased', 'product_purchased used longer', 'issue product_purchased', 'battery life having', 'product_purchased', 'problem battery life', 'product_purchased used', 'persists battery life']","['**Main Theme:** Customers are experiencing issues with the battery life of their purchased products, reporting a sudden decrease in performance.']","[""Display issue I'm having an issue with the {product_purchased}. Please assist. I've noticed a sudden decrease in battery life on my {product_purchased}. It used to last much longer."", ""Hardware issue I'm having an issue with the {product_purchased}. Please assist. I've noticed a sudden decrease in battery life on my {product_purchased}. It used to last much longer."", ""Battery life I'm having an issue with the {product_purchased}. Please assist. I've noticed a sudden decrease in battery life on my {product_purchased}. It used to last much longer.""]","8,16,25,62,84,93,104,106,109,113,124,132,134,147,204,212,218,260,283,313,323,325,349,364,377,385,394,401,405,413,446,491,512,525,564,585,601,603,606,633,662,677,710,723,739,748,752,758,759,778,806,826,837,855,885,914,916,949,950,960,962,965,983,1040,1042,1051,1082,1097,1106,1107,1170,1185,1212,1219,1243,1244,1253,1264,1284,1301,1310,1328,1329,1330,1338,1349,1350,1358,1360,1382,1396,1400,1402,1411,1421,1440,1463,1467,1474,1486,1496,1521,1542,1584,1601,1604,1615,1626,1643,1658,1671,1673,1680,1695,1710,1724,1735,1738,1739,1760,1784,1790,1794,1803,1808,1820,1822,1853,1869,1881,1901,1929,1933,1936,1957,2009,2019,2038,2049,2052,2087,2103,2118,2120,2141,2183,2192,2202,2208,2247,2298,2306,2326,2357,2370,2384,2393,2409,2419,2429,2430,2445,2477,2489,2492,2503,2531,2536,2558,2595,2614,2640,2641,2644,2650,2652,2673,2675,2711,2751,2776,2791,2800,2818,2852,2863,2867,2898,2905,2913,2915,2929,2939,2953,2966,3011,3051,3054,3074,3089,3093,3098,3122,3127,3140,3166,3195,3251,3256,3288,3296,3321,3323,3326,3334,3340,3345,3356,3407,3429,3430,3458,3460,3468,3504,3528,3544,3557,3571,3596,3618,3619,3632,3641,3675,3679,3692,3730,3731,3736,3746,3747,3756,3758,3778,3787,3790,3825,3873,3891,3925,3928,3941,3945,4062,4075,4096,4142,4146,4176,4188,4222,4226,4231,4232,4245,4269,4272,4289,4296,4345,4358,4361,4410,4427,4460,4478,4484,4494,4523,4524,4560,4585,4587,4592,4594,4600,4610,4618,4621,4624,4626,4631,4633,4640,4650,4705,4738,4745,4754,4763,4769,4794,4800,4820,4906,4909,4918,4955,4988,5000,5017,5024,5033,5075,5086,5100,5116,5132,5151,5175,5176,5203,5210,5211,5213,5222,5231,5259,5269,5293,5302,5305,5312,5321,5334,5345,5352,5389,5406,5438,5442,5472,5476,5477,5499,5500,5513,5518,5530,5545,5558,5581,5592,5606,5638,5643,5688,5706,5709,5728,5901,5923,5926,5959,5961,5980,5997,6003,6014,6020,6045,6056,6058,6087,6114,6125,6139,6140,6152,6212,6222,6262,6264,6279,6294,6325,6371,6392,6401,6410,6414,6434,6454,6460,6465,6472,6473,6492,6493,6510,6523,6525,6585,6603,6618,6634,6650,6677,6695,6738,6741,6775,6811,6821,6881,6883,6903,6909,6930,6950,6993,7063,7091,7098,7104,7119,7157,7160,7170,7174,7180,7190,7197,7242,7270,7285,7289,7308,7320,7335,7351,7353,7388,7391,7407,7413,7421,7461,7465,7509,7518,7531,7533,7564,7581,7610,7616,7666,7720,7723,7733,7763,7777,7829,7840,7865,7885,7901,7922,7978,8008,8024,8032,8036,8047,8074,8084,8091,8130,8144,8148,8158,8169,8182,8188,8194,8201,8202,8218,8230,8251,8283,8312,8316,8339,8354,8388,8409,8452,8460"
1,346,1_concerned_safe_security_ensure,"['concerned', 'safe', 'security', 'ensure', 'like', 'about', 'would', 'data', 'that', 'of']","['concerned security product_purchased', 'security product_purchased', 'having issue product_purchased', 'issue product_purchased', 'security product_purchased like', 'data safe product', 'product_purchased like ensure', 'product_purchased', 'software bug product_purchased', 'issue product_purchased assist']",['**Main Theme:** Customers are experiencing various issues with their purchased products and are particularly concerned about the security and safety of their data.'],"[""Product compatibility I'm having an issue with the {product_purchased}. Please assist. I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe."", ""Hardware issue I'm having an issue with the {product_purchased}. Please assist. I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe."", 'Network problem I\'m having an issue with the {product_purchased}. Please assist. */\n\n}\n\nelse if ( is_custom_custom_value ()? $. name_value_item_name : "" custom "" ) { I\'m concerned about the security of my {product_purchased} and would like to ensure that my data is safe.']","17,27,34,40,46,50,82,157,170,171,186,188,201,205,209,211,254,268,287,332,430,456,457,480,496,501,503,630,673,680,741,760,767,786,795,797,840,846,860,869,881,901,969,988,994,1004,1085,1113,1128,1164,1254,1292,1304,1309,1346,1353,1369,1405,1406,1448,1493,1495,1515,1535,1541,1571,1578,1589,1597,1613,1665,1706,1730,1754,1795,1800,1847,1851,1951,1953,1967,1988,1992,2035,2042,2045,2055,2084,2088,2091,2106,2144,2156,2160,2264,2313,2362,2368,2406,2421,2459,2496,2499,2507,2527,2537,2564,2593,2604,2672,2689,2696,2706,2795,2823,2835,2836,2845,2880,2882,2909,2927,2932,2935,2945,2950,2959,2980,2984,3020,3028,3091,3107,3125,3136,3160,3168,3191,3199,3212,3235,3261,3262,3267,3276,3291,3362,3402,3446,3452,3470,3481,3503,3507,3520,3534,3569,3586,3642,3650,3666,3700,3710,3713,3723,3737,3748,3766,3784,3791,3797,3803,3815,3827,3836,3846,3877,3909,3915,3959,3979,4145,4155,4168,4201,4212,4236,4241,4250,4261,4292,4324,4380,4403,4414,4421,4471,4517,4520,4538,4557,4577,4578,4601,4647,4670,4716,4740,4814,4848,4850,4852,4876,4907,4917,4934,4958,4968,5015,5043,5081,5103,5130,5144,5149,5208,5247,5297,5363,5378,5382,5386,5396,5397,5421,5423,5444,5448,5481,5540,5580,5588,5591,5602,5659,5708,5730,5760,5807,5832,5844,5890,5928,5965,6004,6166,6176,6191,6208,6219,6225,6228,6246,6303,6308,6349,6362,6364,6367,6378,6417,6436,6440,6457,6500,6507,6508,6582,6642,6670,6707,6725,6785,6828,6890,7029,7035,7069,7083,7089,7122,7205,7218,7229,7251,7262,7282,7297,7307,7368,7463,7492,7502,7556,7563,7569,7573,7584,7591,7613,7634,7681,7686,7691,7724,7726,7794,7812,7906,7915,7934,7974,8045,8056,8097,8100,8107,8140,8147,8151,8154,8161,8214,8237,8243,8245,8297,8301,8305,8355,8387,8390,8407,8439,8458,8464"
2,314,2_loss_data_an_please,"['loss', 'data', 'an', 'please', 'assist', 'the', 'having', 'with', 'product_purchased', 'issue']","['product_purchased data loss', 'having issue product_purchased', 'issue product_purchased', 'product_purchased data', 'reset product_purchased', 'updates product_purchased data', 'product_purchased hoping resolve', 'factory reset product_purchased', 'product_purchased', 'reset product_purchased hoping']","['**Main Theme:** Customers are experiencing persistent data loss issues with the purchased product, which negatively impacts their productivity and leads to frustration.']","[""Data loss I'm having an issue with the {product_purchased}. Please assist. I am very annoyed.\n\nI'm having an issue with the {product_purchased}. Please assist. I am very annoyed.\n\n10. I've tried troubleshooting steps mentioned in the user manual, but the issue persists."", ""Data loss I'm having an issue with the {product_purchased}. Please assist.\n\n} I've checked for any available software updates for my {product_purchased}, but there are none."", ""Data loss I'm having an issue with the {product_purchased}. Please assist. I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.""]","5,79,119,145,175,292,324,379,380,416,423,442,485,507,576,590,610,636,661,663,715,769,818,820,825,829,861,868,880,1003,1065,1074,1100,1148,1169,1202,1207,1222,1223,1232,1241,1242,1255,1277,1289,1290,1291,1317,1340,1364,1367,1371,1501,1552,1559,1570,1593,1609,1642,1697,1753,1796,1824,1893,1925,1927,1983,2061,2113,2205,2235,2236,2248,2258,2261,2327,2331,2472,2530,2546,2571,2575,2607,2612,2615,2676,2688,2694,2725,2730,2755,2827,2857,2889,2895,2897,2914,2921,2951,2952,3002,3015,3043,3071,3203,3207,3225,3297,3312,3328,3371,3377,3400,3433,3462,3477,3485,3501,3508,3523,3527,3598,3606,3627,3639,3653,3657,3693,3716,3719,3735,3757,3763,3765,3769,3794,3804,3805,3810,3843,3875,3905,3933,4001,4025,4072,4085,4092,4095,4112,4131,4182,4254,4257,4288,4344,4359,4381,4476,4493,4495,4555,4565,4613,4641,4645,4665,4681,4702,4712,4732,4744,4783,4806,4845,4903,4953,4959,4962,4965,4987,4990,5055,5126,5140,5142,5189,5255,5283,5343,5360,5371,5398,5463,5486,5517,5546,5565,5570,5586,5661,5689,5691,5698,5703,5718,5735,5779,5812,5855,5894,5907,6009,6013,6015,6025,6038,6064,6094,6106,6132,6144,6151,6185,6192,6193,6271,6281,6295,6307,6311,6334,6370,6395,6415,6426,6478,6600,6612,6613,6632,6644,6714,6729,6756,6771,6796,6917,6918,6943,6947,6973,7009,7020,7033,7078,7102,7134,7139,7143,7166,7178,7224,7225,7231,7235,7243,7290,7354,7398,7403,7424,7434,7475,7488,7497,7532,7538,7551,7576,7587,7590,7600,7640,7652,7654,7671,7748,7753,7780,7796,7852,7859,7860,7880,7908,7948,7966,7967,7993,8016,8071,8072,8113,8176,8185,8187,8233,8270,8278,8304,8314,8399,8403"
3,357,3_network_problem_please_assist,"['network', 'problem', 'please', 'assist', 'an', 'having', 'the', 'with', 'issue', 'for']","['product_purchased network problem', 'product_purchased network', 'application product_purchased network', 'having issue product_purchased', 'updates product_purchased network', 'issue product_purchased', 'product_purchased', 'issue product_purchased assist', 'updates product_purchased', 'product_purchased assist']","['**Main Theme:** Customers are experiencing persistent network issues with their purchased products, leading to frustration and concerns about productivity.']","[""Network problem I'm having an issue with the {product_purchased}. Please assist. #3, {product_ex_name}, {product_name}, $3.00. {3, {product_ex_status} and $1 I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help."", ""Network problem I'm having an issue with the {product_purchased}. Please assist. I've already contacted customer support multiple times, but the issue remains unresolved."", ""Network problem I'm having an issue with the {product_purchased}. Please assist. {{product_purchased}}\n\n{product_refresh_to}} {{review_created}}\n\n{review_total_refresh}} I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.""]","47,49,53,54,90,138,176,225,261,276,299,361,420,455,469,489,518,562,574,575,611,650,712,732,737,749,784,817,911,924,932,936,951,977,981,1060,1063,1064,1143,1147,1176,1178,1188,1237,1267,1295,1318,1320,1332,1342,1344,1418,1435,1445,1460,1517,1527,1545,1556,1576,1632,1647,1648,1715,1725,1767,1782,1802,1809,1821,1825,1845,1880,1922,1959,1961,1996,2017,2054,2058,2070,2137,2173,2179,2215,2225,2226,2256,2332,2341,2381,2382,2396,2404,2428,2432,2473,2488,2549,2585,2623,2655,2685,2687,2690,2817,2864,2865,2871,2911,2923,2924,2947,2995,3030,3035,3082,3097,3109,3112,3134,3145,3150,3193,3206,3217,3237,3243,3277,3307,3332,3342,3359,3372,3399,3419,3445,3448,3494,3517,3524,3573,3600,3611,3624,3656,3668,3676,3685,3694,3725,3786,3793,3802,3820,3852,3857,3924,3944,3948,3993,4029,4039,4089,4094,4097,4108,4111,4140,4156,4166,4175,4200,4220,4230,4249,4260,4278,4283,4304,4319,4320,4337,4338,4375,4384,4391,4440,4470,4491,4593,4596,4637,4664,4687,4689,4715,4718,4722,4803,4841,4847,4857,4948,5013,5046,5065,5069,5074,5148,5246,5253,5280,5292,5304,5331,5354,5364,5368,5372,5401,5426,5433,5458,5516,5535,5541,5549,5563,5578,5630,5637,5654,5676,5711,5732,5808,5821,5852,5872,5876,5879,5892,5906,5941,5952,5956,5957,5964,5993,5994,6024,6067,6068,6092,6165,6194,6211,6214,6243,6252,6261,6269,6306,6348,6359,6377,6429,6439,6461,6462,6482,6516,6549,6561,6574,6578,6580,6583,6592,6622,6649,6653,6678,6680,6684,6702,6711,6719,6746,6780,6818,6893,6900,6905,6913,6924,6940,7027,7038,7057,7072,7086,7125,7148,7237,7298,7323,7332,7338,7347,7366,7419,7445,7453,7467,7472,7498,7526,7578,7608,7636,7649,7653,7663,7679,7694,7704,7714,7719,7757,7785,7844,7872,7888,7893,7914,7938,7950,7988,7997,8021,8057,8073,8096,8103,8105,8106,8133,8249,8289,8295,8333,8348,8371,8401,8440"
4,298,4_access_account_the_please,"['access', 'account', 'the', 'please', 'assist', 'an', 'having', 'with', 'issue', 'product_purchased']","['product_purchased account access', 'product_purchased account', 'product_purchased issue', 'having issue product_purchased', 'application product_purchased account', 'updates product_purchased account', 'issue product_purchased', 'issue product_purchased assist', 'product_purchased', 'updates product_purchased']","['**Main Theme:** Customers are experiencing access and functionality issues with the purchased product, often complicated by software updates and intermittent performance.']","[""Account access I'm having an issue with the {product_purchased}. Please assist. I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help."", 'Account access I\'m having an issue with the {product_purchased}. Please assist.\n\nNote that the ""0"" and ""1"" is not actually the same and do not show up together, but the amount in ""0"" and "" The issue I\'m facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.', ""Account access I'm having an issue with the {product_purchased}. Please assist.\n\n1x4\n\n2x4\n\n3x4\n\n4x8\n\n5x8\n\n6x6\n\n7 I've checked for any available software updates for my {product_purchased}, but there are none.""]","4,77,95,108,153,182,193,223,232,247,338,352,371,421,454,463,470,475,505,519,535,536,571,577,602,616,618,742,746,771,773,800,928,945,947,1000,1016,1079,1110,1120,1121,1171,1190,1226,1257,1319,1401,1409,1426,1465,1475,1505,1572,1588,1670,1777,1842,1878,1928,1935,1945,1966,1971,1978,2022,2065,2100,2161,2180,2254,2257,2281,2295,2299,2317,2319,2377,2420,2433,2448,2478,2494,2510,2512,2516,2545,2579,2592,2619,2632,2645,2668,2724,2735,2785,2797,2834,2848,2859,2873,2901,2934,2948,2955,2968,2969,2974,3087,3176,3179,3188,3197,3218,3227,3241,3252,3310,3341,3352,3364,3414,3482,3553,3590,3673,3677,3708,3728,3732,3779,3833,3842,4014,4042,4059,4069,4100,4104,4141,4225,4394,4396,4397,4400,4425,4487,4510,4708,4726,4756,4777,4788,4795,4816,4830,4862,4910,4923,4939,4944,4954,4969,4986,5001,5034,5049,5076,5079,5192,5194,5204,5209,5242,5254,5265,5272,5278,5309,5318,5337,5346,5446,5454,5462,5507,5573,5629,5631,5635,5641,5646,5674,5693,5750,5753,5775,5791,5792,5806,5815,5838,5851,5909,5927,5981,5985,6043,6079,6084,6167,6172,6197,6220,6280,6304,6373,6384,6385,6386,6391,6443,6452,6566,6594,6629,6640,6652,6683,6727,6768,6769,6770,6782,6791,6799,6804,6806,6859,6862,6869,6875,6945,6955,7022,7025,7130,7158,7165,7171,7177,7200,7232,7233,7252,7276,7325,7329,7333,7345,7356,7380,7410,7418,7427,7452,7460,7494,7495,7598,7602,7641,7770,7797,7805,7810,7823,7856,7881,7896,7919,7943,7954,7975,7984,8000,8034,8109,8121,8162,8167,8179,8186,8281,8285,8350,8389,8417,8467"
5,319,5_cancellation_request_assist_please,"['cancellation', 'request', 'assist', 'please', 'the', 'an', 'having', 'with', 'issue', 'product_purchased']","['product_purchased cancellation request', 'product_purchased cancellation', 'product_purchased issue', 'having issue product_purchased', 'issue product_purchased', 'problems cancellation request', 'issue product_purchased assist', 'problem cancellation request', 'product_purchased', 'issue persists cancellation']","['**Main Theme:** Customers are experiencing persistent issues with their purchased products, often following updates, and are seeking assistance to resolve these problems, leading to cancellation requests.']","[""Cancellation request I'm having an issue with the {product_purchased}. Please assist. The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly."", ""Cancellation request I'm having an issue with the {product_purchased}. Please assist.\n\n} else { The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly."", ""Cancellation request I'm having an issue with the {product_purchased}. Please assist. I've checked for any available software updates for my {product_purchased}, but there are none.""]","30,60,127,128,154,295,298,318,343,347,374,464,465,487,504,540,553,565,583,591,598,645,658,681,683,703,717,719,720,830,833,839,844,872,886,891,913,925,1049,1092,1141,1270,1300,1335,1386,1392,1498,1531,1617,1638,1656,1666,1701,1722,1728,1769,1774,1776,1856,1857,1910,1915,1921,1954,1965,1999,2031,2051,2053,2060,2062,2063,2066,2085,2093,2181,2189,2191,2198,2251,2268,2289,2290,2323,2378,2385,2398,2417,2422,2458,2469,2502,2521,2556,2567,2625,2626,2665,2677,2745,2781,2809,2816,2850,2869,2874,2884,2886,2942,2954,2957,2971,2985,2989,2992,3003,3008,3058,3066,3094,3115,3120,3169,3178,3198,3274,3275,3282,3330,3335,3360,3382,3389,3434,3509,3518,3530,3535,3545,3556,3560,3568,3580,3603,3605,3616,3712,3717,3738,3789,3792,3807,3811,3861,3883,3884,3906,3920,3956,3963,3988,4008,4018,4027,4034,4071,4105,4130,4132,4170,4192,4211,4228,4233,4239,4247,4262,4342,4343,4462,4516,4568,4695,4810,4811,4815,4821,4921,4942,5016,5027,5028,5066,5091,5120,5167,5181,5184,5241,5320,5374,5411,5412,5436,5474,5502,5608,5738,5745,5768,5781,5796,5818,5834,5842,5880,5885,5887,5916,5937,5938,5944,5977,5998,6077,6078,6080,6091,6100,6107,6157,6189,6221,6247,6328,6331,6332,6333,6354,6393,6406,6418,6437,6441,6498,6555,6615,6638,6658,6703,6720,6759,6773,6774,6814,6826,6860,6937,6954,6959,6966,6989,7004,7049,7060,7126,7147,7185,7226,7264,7295,7303,7341,7343,7379,7383,7395,7422,7451,7456,7473,7479,7482,7522,7553,7567,7589,7646,7648,7656,7658,7697,7791,7792,7818,7849,7868,7878,7895,7910,7959,7985,8033,8061,8088,8145,8177,8220,8227,8261,8275,8282,8299,8318,8332,8334,8349,8356,8363"
6,319,6_display_issue_an_please,"['display', 'issue', 'an', 'please', 'assist', 'having', 'with', 'the', 'for', 'product_purchased']","['product_purchased display issue', 'product_purchased display', 'product_purchased issue', 'having issue product_purchased', 'product_purchased issue persists', 'issue product_purchased', 'updates product_purchased display', 'issue product_purchased assist', 'product_purchased', 'display issue having']","['**Main Theme:** Customers are experiencing persistent display issues with their purchased products, significantly impacting their productivity.']","[""Display issue I'm having an issue with the {product_purchased}. Please assist. I've tried different settings and configurations on my {product_purchased}, but the issue persists."", 'Display issue I\'m having an issue with the {product_purchased}. Please assist. Thank you"" ;\n\n}\n\nif ( fUser ==\'/\')) {\n\nreturn ;\n\n}\n\nif ( fUser == I\'ve checked for any available software updates for my {product_purchased}, but there are none.', ""Display issue I'm having an issue with the {product_purchased}. Please assist. :/\n\n@id_product\n\n@name\n\n@model_size\n\n@body_color\n\n@key_type\n\n@ I've already contacted customer support multiple times, but the issue remains unresolved.""]","13,21,73,76,92,112,126,152,190,197,208,231,233,258,282,367,392,424,445,476,492,527,544,557,560,561,587,643,667,707,738,781,801,831,857,903,954,982,1021,1030,1036,1037,1058,1061,1272,1274,1302,1379,1410,1415,1419,1451,1485,1526,1567,1568,1592,1594,1611,1660,1674,1681,1696,1708,1726,1812,1840,1846,1862,1877,1926,1948,1960,1963,1993,2002,2059,2078,2095,2123,2148,2238,2263,2301,2309,2322,2349,2358,2391,2451,2470,2504,2547,2548,2598,2610,2692,2705,2728,2783,2808,2820,2826,2900,2978,2990,3009,3013,3080,3081,3103,3110,3118,3137,3147,3170,3180,3190,3208,3223,3294,3303,3314,3403,3432,3456,3484,3511,3519,3540,3558,3570,3602,3608,3612,3644,3651,3682,3705,3740,3800,3814,3834,3871,3872,3902,3921,3932,3946,3961,3981,3998,4010,4011,4012,4019,4065,4136,4159,4160,4209,4218,4299,4336,4373,4398,4415,4417,4444,4451,4461,4474,4503,4539,4576,4607,4630,4768,4770,4817,4872,4880,4898,4914,4971,4984,4992,4998,5003,5035,5058,5063,5099,5145,5174,5236,5245,5252,5286,5287,5298,5325,5387,5414,5479,5510,5519,5537,5553,5579,5583,5604,5640,5690,5712,5717,5733,5840,5841,5871,5888,5912,5930,5932,5940,6042,6075,6076,6090,6108,6153,6173,6182,6215,6248,6341,6363,6416,6467,6494,6501,6527,6530,6616,6627,6635,6659,6669,6708,6709,6735,6760,6798,6802,6833,6844,6853,6967,6980,6987,6996,7013,7039,7041,7106,7138,7142,7163,7217,7271,7316,7337,7399,7405,7439,7449,7480,7484,7537,7540,7572,7604,7642,7644,7693,7695,7703,7708,7712,7727,7761,7843,7879,7890,7899,7925,7951,7952,7979,7982,7989,7998,8029,8051,8055,8085,8093,8136,8175,8265,8294,8309,8337,8376,8377,8408,8450,8453,8463"
7,244,7_peripheral_compatibility_an_please,"['peripheral', 'compatibility', 'an', 'please', 'assist', 'having', 'with', 'issue', 'the', 'product_purchased']","['product_purchased peripheral compatibility', 'product_purchased peripheral', 'application product_purchased peripheral', 'problems peripheral compatibility', 'problem peripheral compatibility', 'having issue product_purchased', 'unexpectedly peripheral compatibility', 'issue product_purchased', 'unresolved peripheral compatibility', 'help peripheral compatibility']","['**Main Theme:** Customers are experiencing persistent compatibility issues with their purchased peripherals, leading to frustration and hindering productivity.']","[""Peripheral compatibility I'm having an issue with the {product_purchased}. Please assist. I've tried troubleshooting steps mentioned in the user manual, but the issue persists."", ""Peripheral compatibility I'm having an issue with the {product_purchased}. Please assist. The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly."", ""Peripheral compatibility I'm having an issue with the {product_purchased}. Please assist.\n\n\nI'm having an issue with the {product_purchased}. Please assist. The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.""]","2,19,58,122,179,238,286,304,307,366,368,381,406,417,513,533,559,566,589,642,669,709,718,734,747,794,799,807,824,836,849,888,939,972,1027,1052,1067,1119,1182,1198,1215,1220,1239,1245,1269,1413,1476,1487,1502,1506,1550,1591,1595,1618,1620,1621,1623,1628,1652,1653,1682,1707,1716,1746,1773,1830,1852,1873,1897,1899,1902,1908,1995,2005,2016,2034,2077,2080,2146,2147,2186,2187,2204,2239,2277,2296,2366,2450,2457,2490,2544,2569,2586,2596,2602,2616,2627,2722,2732,2765,2770,2802,2843,2904,2930,2946,2996,3026,3052,3187,3236,3255,3327,3353,3384,3391,3401,3426,3447,3464,3488,3582,3604,3631,3663,3664,3687,3724,3818,3819,3849,3863,3950,4030,4047,4121,4124,4152,4183,4189,4205,4347,4409,4416,4482,4512,4528,4536,4558,4573,4588,4602,4615,4725,4736,4834,4873,4952,4974,4985,4996,5026,5121,5127,5137,5152,5188,5316,5333,5342,5366,5375,5390,5471,5473,5490,5556,5576,5614,5656,5672,5772,5790,5857,5858,5925,5991,6035,6086,6134,6148,6257,6324,6342,6427,6444,6453,6535,6628,6639,6654,6656,6786,6801,6805,6851,6856,6908,6919,6963,6965,7105,7116,7187,7236,7448,7471,7523,7550,7559,7660,7670,7705,7740,7744,7752,7764,7811,7814,7857,8035,8060,8126,8153,8157,8208,8209,8232,8266,8329,8331,8369,8384,8459"
8,201,8_internet_connection_establish_stable,"['internet', 'connection', 'establish', 'stable', 'disconnecting', 'intermittently', 'keeps', 'troubleshoot', 'network', 'unable']","['network problem product_purchased', 'problem product_purchased unable', 'issue product_purchased unable', 'problem product_purchased', 'product_purchased issue', 'product_purchased unable', 'delivery problem product_purchased', 'payment issue product_purchased', 'display issue product_purchased', 'network problem']","['Main Theme: Customers are experiencing persistent network connectivity issues with their purchased products, leading to frustration and refund requests.']","[""Battery life The {product_purchased} is unable to establish a stable internet connection. It keeps disconnecting intermittently. How can I troubleshoot this network problem?\n\n{product_available} is also unable to establish a stable internet connection I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?"", ""Product recommendation The {product_purchased} is unable to establish a stable internet connection. It keeps disconnecting intermittently. How can I troubleshoot this network problem?\n\n{product_purchased} is unable to establish a stable internet I'm using the original charger that came with my {product_purchased}, but it's not charging properly."", ""Network problem The {product_purchased} is unable to establish a stable internet connection. It keeps disconnecting intermittently. How can I troubleshoot this network problem?\n\n{product_updated} is unable to establish a stable internet connection. I need assistance as soon as possible because it's affecting my work and productivity.""]","110,192,293,301,359,382,402,404,433,448,520,523,568,580,605,607,665,697,702,764,772,808,834,905,955,996,1013,1095,1131,1138,1161,1195,1199,1238,1283,1307,1352,1377,1385,1388,1397,1470,1518,1561,1654,1721,1727,1780,1835,1874,1920,2030,2177,2178,2182,2190,2287,2491,2508,2560,2584,2647,2719,2720,2760,2789,2799,2862,2899,2940,2961,3024,3131,3365,3381,3439,3453,3469,3559,3589,3701,3739,3754,3760,3829,3832,3835,3930,3952,4015,4032,4056,4066,4273,4291,4327,4329,4357,4367,4422,4428,4453,4518,4542,4671,4682,4760,4784,4849,4853,4978,5021,5050,5097,5105,5115,5119,5134,5139,5183,5226,5263,5295,5314,5329,5376,5419,5521,5589,5679,5734,5810,5822,5823,5968,5979,6021,6028,6060,6088,6203,6240,6260,6299,6326,6352,6387,6424,6479,6497,6517,6540,6545,6548,6554,6789,6873,6895,6922,6923,6936,6986,6988,7050,7145,7156,7167,7173,7212,7239,7241,7305,7319,7363,7375,7386,7459,7490,7491,7525,7536,7555,7595,7619,7659,7675,7700,7707,7911,7939,7958,7994,8062,8064,8122,8149,8198,8217,8225,8367,8454"
9,186,9_password_account_forgotten_recover,"['password', 'account', 'forgotten', 'recover', 'reset', 'working', 'option', 'my', 'how', 'not']","['reset password', 'forgotten password', 'product_purchased account', 'account recover', 'product_purchased issue', 'account password', 'reset', 'product_purchased', 'password', 'account login']","['**Main Theme:** Customers are facing difficulties in recovering their accounts due to issues with the password reset functionality, leading to frustration and a need for support.']","[""Network problem I've forgotten my password for my {product_purchased} account, and the password reset option is not working. How can I recover my account?\n\nIf there's no password reset on your account, please use the instructions provided on I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?"", ""Data loss I've forgotten my password for my {product_purchased} account, and the password reset option is not working. How can I recover my account?\n\nIf the login and password settings and password reset option has been reset and the username I need assistance as soon as possible because it's affecting my work and productivity."", ""Refund request I've forgotten my password for my {product_purchased} account, and the password reset option is not working. How can I recover my account?\n\nI've forgotten my password for my account, and the password reset option is not I've followed online tutorials and community forums to troubleshoot the issue, but no luck so far.""]","38,59,86,91,166,168,305,327,341,418,440,473,498,516,597,599,727,827,904,989,1001,1014,1028,1029,1094,1112,1209,1305,1331,1341,1391,1468,1479,1482,1548,1605,1631,1639,1668,1755,1765,1804,1807,1816,1843,1859,1898,1904,1952,1981,2134,2151,2152,2196,2206,2228,2252,2308,2346,2351,2388,2475,2519,2535,2613,2649,2773,2925,3038,3078,3222,3258,3324,3420,3496,3541,3543,3574,3691,3711,3743,3773,3775,3837,3839,3880,3923,3934,3935,3942,4023,4090,4091,4165,4221,4287,4290,4365,4376,4386,4424,4426,4434,4449,4522,4527,4589,4667,4727,4735,4750,4758,4793,4829,4838,4856,4946,4951,5037,5205,5289,5349,5351,5380,5439,5497,5554,5568,5595,5605,5645,5759,5770,5783,5786,5839,5850,5862,5869,5893,5902,6019,6046,6129,6273,6309,6355,6463,6531,6595,6637,6766,6876,6944,6985,7002,7135,7209,7257,7268,7284,7519,7647,7655,7710,7721,7741,7742,7783,7855,7918,7936,7937,7964,8037,8101,8116,8210,8211,8246,8268,8284,8296,8308,8380,8393"
